,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2011-12-25,New York,Boston,195.5,5.0,95.5,1.0,-210,185,210,2,96,-8
1,2011-12-25,Dallas,Miami,190.5,3.5,95,3,185,-210,199,-11,96,10
2,2011-12-25,LA Lakers,Chicago,186.0,1.5,92,1,205,-245,175,-1,70,6
3,2011-12-25,Okla City,Orlando,197.0,7.5,96.0,0.5,-380,310,186,8,90,-6
4,2011-12-25,Golden State,LA Clippers,212.0,4.0,103.5,4.5,175,-200,191,-19,107,-21
5,2011-12-26,Washington,Brooklyn,191.5,4.5,93.0,0.5,-165,145,174,-6,92,-14
6,2011-12-26,Orlando,Houston,201.0,5.5,95,3,-265,225,199,9,96,6
7,2011-12-26,Cleveland,Toronto,198.5,3.5,95.0,3.5,-130,110,200,-8,106,2
8,2011-12-26,Indiana,Detroit,198.0,7.0,95.0,0.5,-400,325,170,12,80,-2
9,2011-12-26,Minnesota,Okla City,209.0,6.0,101.0,1.5,190,-230,204,-4,106,2
10,2011-12-26,Dallas,Denver,202.5,5.0,96.5,8.5,-200,170,208,-22,97,5
11,2011-12-26,San Antonio,Memphis,196.0,5.5,96.0,3.5,-210,175,177,13,90,14
12,2011-12-26,Phoenix,New Orleans,195.0,7.0,94.5,4.5,-260,220,169,-1,81,5
13,2011-12-26,Sacramento,LA Lakers,200.0,3.5,95.5,4.5,125,-145,191,9,102,0
14,2011-12-26,Portland,Philadelphia,189.0,4.5,92.5,2.0,-200,170,210,4,118,0
15,2011-12-26,Golden State,Chicago,197.0,5.5,95.0,7.5,250,-300,190,8,92,-8
16,2011-12-27,Brooklyn,Atlanta,184.0,5.0,86.5,3.5,155,-175,176,-36,94,-14
17,2011-12-27,Miami,Boston,187.0,11.0,94.5,1.5,-600,450,222,8,99,-7
18,2011-12-27,Milwaukee,Minnesota,192.0,6.0,97,1,-240,200,193,3,85,-9
