,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2016-10-25,Cleveland,New York,205.5,9.5,103.5,5.0,-450,355,205,29,112,26
1,2016-10-25,Portland,Utah,194.0,6.0,pk,99.5,-235,195,217,9,117,1
2,2016-10-25,Golden State,San Antonio,210.5,8.0,110,10.5,-400,325,229,-29,119,-11
3,2016-10-26,Orlando,Miami,202.0,4.0,99.5,1.0,-155,135,204,-12,101,-15
4,2016-10-26,Indiana,Dallas,207.5,5.0,103.5,1.0,-215,185,251,9,119,-7
5,2016-10-26,Toronto,Detroit,195.0,7.0,98,0.5,-260,210,200,18,96,6
6,2016-10-26,Boston,Brooklyn,209.0,14.0,109,5.0,-902,601,239,5,117,-1
7,2016-10-26,Memphis,Minnesota,197.0,3.5,100,2.0,100,-120,200,4,91,13
8,2016-10-26,Philadelphia,Okla City,208.0,7.0,104,6.0,365,-460,200,-6,98,-6
9,2016-10-26,New Orleans,Denver,208.5,4.0,101,3.5,-125,105,209,-5,101,7
10,2016-10-26,Phoenix,Sacramento,210.0,3.0,107,6.5,-150,130,207,-19,112,0
11,2016-10-26,LA Lakers,Houston,220.0,5.0,115,1.5,210,-260,234,6,100,14
12,2016-10-27,Atlanta,Washington,203.5,2.5,101,2.0,-175,155,213,15,100,14
13,2016-10-27,Chicago,Boston,210.5,1.0,106.5,2.0,-115,-105,204,6,98,-2
14,2016-10-27,Portland,LA Clippers,208.5,1.5,105.5,2.0,120,-140,220,-8,113,1
15,2016-10-27,Sacramento,San Antonio,206.0,8.0,107.5,7.5,295,-360,196,-8,86,-12
16,2016-10-28,Toronto,Cleveland,204.5,3.0,100.5,2.0,125,-145,185,-3,95,7
17,2016-10-28,Detroit,Orlando,197.0,4.0,96,4.0,-180,160,190,26,105,3
18,2016-10-28,Brooklyn,Indiana,211.5,6.5,109.5,6.5,190,-230,197,9,97,5
19,2016-10-28,Okla City,Phoenix,211.0,10.5,107,7.5,-345,280,223,3,102,4
20,2016-10-28,Miami,Charlotte,198.0,1.5,97.5,4.0,100,-120,188,-6,85,-17
21,2016-10-28,Dallas,Houston,217.0,2.0,107,1.0,110,-130,204,-8,102,-6
22,2016-10-28,Utah,LA Lakers,199.0,9.5,100,4.0,-465,370,185,7,94,2
23,2016-10-28,New Orleans,Golden State,217.0,9.5,110.5,5.0,700,-1000,236,-8,127,1
24,2016-10-29,Philadelphia,Atlanta,204.0,6.5,103,0.5,285,-370,176,-32,84,-18
25,2016-10-29,Cleveland,Orlando,207.0,11.5,101,1.5,-800,500,204,6,97,-11
26,2016-10-29,New York,Memphis,200.0,2.5,100,1.0,-155,135,215,7,109,-1
27,2016-10-29,Milwaukee,Brooklyn,206.0,6.5,104,3.5,-360,280,218,2,131,-3
28,2016-10-29,Chicago,Indiana,210.0,3.0,103.5,4.5,-165,145,219,17,116,-4
29,2016-10-29,San Antonio,New Orleans,206.0,12.5,100,5.5,-1900,900,177,19,77,9
30,2016-10-29,Denver,Portland,211.0,1.0,104.5,1.5,105,-125,228,-2,92,8
31,2016-10-29,Sacramento,Minnesota,203.5,2.5,101,3.5,-110,-110,209,3,90,14
32,2016-10-30,LA Clippers,Utah,196.0,8.0,98.5,1.5,-360,295,163,13,86,6
33,2016-10-30,Phoenix,Golden State,225.0,12.0,113,9.0,570,-791,206,-6,94,-8
34,2016-10-30,Detroit,Milwaukee,193.5,7.0,97,0.5,-315,250,181,15,92,4
35,2016-10-30,Miami,San Antonio,195.0,6.0,102,1.5,230,-290,205,-7,109,1
36,2016-10-30,Okla City,LA Lakers,214.0,8.5,107,1.0,-450,355,209,17,105,5
37,2016-10-30,Memphis,Washington,202.5,1.0,102.5,3.5,140,-160,215,9,88,-4
38,2016-10-30,Houston,Dallas,216.0,6.5,107.5,0.5,-240,200,185,1,69,-9
39,2016-10-31,Toronto,Denver,204.0,7.5,102,0.5,-290,230,207,3,96,-10
40,2016-10-31,Brooklyn,Chicago,210.5,5.5,104,3.0,205,-245,206,-30,97,-9
41,2016-10-31,Atlanta,Sacramento,202.5,7.5,101.5,1.0,-310,250,201,11,104,2
42,2016-10-31,LA Clippers,Phoenix,207.0,10.5,104.5,4.0,-1150,750,214,18,130,6
43,2016-11-01,Cleveland,Houston,218.0,8.5,108.5,5.0,-540,420,248,8,126,4
44,2016-11-01,Indiana,LA Lakers,216.0,9.5,105,1.5,-450,355,223,7,110,-4
45,2016-11-01,Philadelphia,Orlando,199.0,4.0,99,7.0,172,-202,204,-2,104,-16
46,2016-11-01,Detroit,New York,198.0,3.5,101,0.5,-170,150,191,13,72,4
47,2016-11-01,Miami,Sacramento,201.0,4.0,99,1.0,-165,145,204,12,78,-4
48,2016-11-01,Minnesota,Memphis,199.0,5.5,97,2.5,-350,285,196,36,98,10
49,2016-11-01,New Orleans,Milwaukee,206.0,3.0,101,4.5,-165,145,230,-4,113,5
50,2016-11-01,San Antonio,Utah,189.0,11.0,99,9.0,-575,435,197,-15,93,-11
51,2016-11-01,Portland,Golden State,225.0,6.0,113,2.5,200,-240,231,-23,119,-17
52,2016-11-02,Washington,Toronto,203.0,1.0,pk,102.0,-125,105,216,-10,106,-12
53,2016-11-02,Charlotte,Philadelphia,195.0,11.5,98.5,11.5,-1350,850,202,16,103,23
54,2016-11-02,New York,Houston,213.5,1.0,108,5.0,-115,-105,217,-19,98,-2
55,2016-11-02,Atlanta,LA Lakers,208.0,11.0,102,4.5,-1150,750,239,-7,128,-16
56,2016-11-02,Brooklyn,Detroit,204.5,4.0,101,7.0,150,-170,210,8,84,-8
57,2016-11-02,Memphis,New Orleans,206.0,6.0,104,5.0,-205,175,172,6,61,7
58,2016-11-02,Boston,Chicago,209.5,2.5,102.5,1.0,-164,144,207,7,100,4
59,2016-11-02,Utah,Dallas,188.0,4.5,93,1.5,-160,140,178,16,104,8
60,2016-11-02,Phoenix,Portland,215.5,3.5,110,3.0,130,-150,233,3,96,-4
61,2016-11-02,LA Clippers,Okla City,205.0,6.0,105,6.5,-300,240,168,-2,78,6
62,2016-11-03,Orlando,Sacramento,202.0,2.0,98.5,2.0,100,-120,196,8,90,2
63,2016-11-03,Cleveland,Boston,210.0,7.0,107,1.0,-700,450,250,6,131,-11
64,2016-11-03,Minnesota,Denver,209.0,3.5,pk,100.0,-165,145,201,-3,85,-9
65,2016-11-03,Milwaukee,Indiana,210.0,2.5,103.5,3.5,125,-145,232,18,112,12
66,2016-11-03,Golden State,Okla City,226.5,10.0,107.5,0.5,-850,525,218,26,107,1
67,2016-11-04,Washington,Atlanta,207.0,2.0,105.5,4.0,-120,100,187,3,104,-10
68,2016-11-04,Brooklyn,Charlotte,206.0,5.5,100.5,7.0,225,-275,194,-4,101,-11
69,2016-11-04,Toronto,Miami,199.0,7.5,101,2.0,-300,240,183,9,85,3
70,2016-11-04,Chicago,New York,208.0,6.5,105,5.0,-320,255,221,-13,108,-14
71,2016-11-04,New Orleans,Phoenix,211.0,4.0,109.5,0.5,-145,125,223,-1,85,-3
72,2016-11-04,Memphis,LA Clippers,196.5,4.0,97,2.0,195,-235,187,-11,99,7
73,2016-11-04,Dallas,Portland,208.0,1.5,pk,103.5,115,-135,200,-10,93,-7
74,2016-11-04,Utah,San Antonio,186.0,5.0,97,2.0,145,-165,186,-14,92,-2
75,2016-11-04,LA Lakers,Golden State,226.5,10.5,115,13.5,600,-900,214,20,100,4
76,2016-11-05,Okla City,Minnesota,207.0,5.0,103,0.5,-200,170,204,20,92,14
77,2016-11-05,Detroit,Denver,203.0,3.5,pk,97.5,-200,170,189,17,94,10
78,2016-11-05,Philadelphia,Cleveland,204.5,13.0,103.5,3.0,700,-1000,203,-1,100,10
79,2016-11-05,Orlando,Washington,205.0,1.5,99,6.5,-270,220,174,2,84,12
80,2016-11-05,Indiana,Chicago,215.0,2.5,103,3.5,-165,145,205,17,100,-2
81,2016-11-05,Atlanta,Houston,217.0,3.0,pk,107.5,-155,135,209,15,85,9
82,2016-11-05,Milwaukee,Sacramento,203.0,2.5,98.5,2.5,-165,145,208,26,99,13
83,2016-11-05,San Antonio,LA Clippers,195.5,5.5,99.5,7.5,-200,170,208,-24,80,-6
84,2016-11-06,New York,Utah,194.0,1.5,101.5,2.5,120,-140,223,-5,120,-10
