,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2007-10-30,San Antonio,Portland,184.0,12.5,95,5,-1400,900,203,9,95,-1
1,2007-10-30,Golden State,Utah,214.5,3.0,105.5,3.0,-120,100,213,-21,100,-10
2,2007-10-30,LA Lakers,Houston,191.0,2.5,99,3,190,-230,188,-2,102,-2
3,2007-10-31,Toronto,Philadelphia,190.0,6.5,96.5,2.0,-305,255,203,9,95,1
4,2007-10-31,Indiana,Washington,200.0,1.5,105,1,105,-125,229,9,113,-3
5,2007-10-31,Orlando,Milwaukee,198.5,8.0,97.0,3.5,-295,245,185,19,91,17
6,2007-10-31,Brooklyn,Chicago,188.0,2.0,94,3,-125,105,215,9,95,-15
7,2007-10-31,Cleveland,Dallas,186.0,3.0,91.5,4.0,120,-140,166,-18,78,2
8,2007-10-31,Memphis,San Antonio,198.0,7.0,99.5,4.0,210,-250,205,-3,101,-3
9,2007-10-31,New Orleans,Sacramento,193.0,10.0,94.0,1.5,-525,425,194,14,95,-1
10,2007-10-31,Denver,Seattle,213.0,10.5,107.5,6.5,-825,625,223,17,106,16
11,2007-11-01,Miami,Detroit,181.0,4.0,pk,89.5,160,-190,171,-11,81,-5
12,2007-11-01,Utah,Houston,191.0,3.5,98.5,3.5,-160,140,201,-11,95,-3
13,2007-11-01,Seattle,Phoenix,223.0,9.0,112.5,9.0,575,-725,205,-7,92,-10
14,2007-11-02,Charlotte,Milwaukee,200.0,2.5,96.5,4.0,-170,150,201,3,106,6
15,2007-11-02,Orlando,Detroit,184.0,2.5,93.5,4.5,-170,150,208,-24,89,-15
16,2007-11-02,Indiana,Miami,186.5,6.5,96.5,4.0,-275,235,172,2,77,1
17,2007-11-02,Brooklyn,Toronto,192.5,5.0,96,6,-175,155,175,-37,78,-22
18,2007-11-02,Atlanta,Dallas,192.0,6.0,94.5,5.0,210,-250,195,7,110,0
19,2007-11-02,Cleveland,New York,186.5,7.5,94,4,-250,210,216,4,107,3
20,2007-11-02,Boston,Washington,208.0,6.0,105.0,2.5,-335,285,186,20,92,-2
21,2007-11-02,New Orleans,Portland,192.0,8.0,102.5,2.0,-325,275,206,20,100,12
22,2007-11-02,Minnesota,Denver,209.0,8.5,104.0,6.5,315,-375,190,-8,89,-11
23,2007-11-02,Chicago,Philadelphia,189.0,9.5,94,7,-500,400,181,-11,98,-10
24,2007-11-02,San Antonio,Sacramento,190.5,14.5,92.5,2.0,-2000,1200,176,16,103,-11
25,2007-11-02,Phoenix,LA Lakers,217.0,10.0,107.5,9.0,-435,365,217,-21,104,-8
26,2007-11-02,LA Clippers,Golden State,209.0,2.0,104.5,1.5,-125,105,234,6,112,6
27,2007-11-03,Philadelphia,Brooklyn,186.5,2.5,94.5,1.5,130,-150,181,-5,109,-1
28,2007-11-03,Washington,Orlando,199.0,2.0,100.5,2.5,-130,110,176,-12,84,-4
29,2007-11-03,Memphis,Indiana,211.5,4.5,107.0,5.5,-220,180,232,-10,99,1
30,2007-11-03,Milwaukee,Chicago,193.5,2.5,95.0,1.5,155,-175,150,6,83,9
