,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2014-10-28,San Antonio,Dallas,206.5,6.0,102,4,-165,140,201,1,103,9
1,2014-10-28,New Orleans,Orlando,196.0,9.5,94.5,3.5,-475,380,185,17,96,10
2,2014-10-28,LA Lakers,Houston,209.0,6.5,103.0,1.5,250,-300,198,-18,91,-1
3,2014-10-29,Charlotte,Milwaukee,192.0,9.0,97.0,7.5,-390,315,214,2,97,11
4,2014-10-29,Indiana,Philadelphia,194.0,8.5,95,6,-350,290,194,12,95,15
5,2014-10-29,Boston,Brooklyn,191.0,1.5,96.5,6.5,-115,-105,226,16,118,-10
6,2014-10-29,Toronto,Atlanta,199.5,5.5,pk,100.5,-190,161,211,7,99,-1
7,2014-10-29,Miami,Washington,194.0,4.5,93.5,3.0,-210,180,202,12,97,11
8,2014-10-29,New York,Chicago,190.0,4.0,91.5,1.0,166,-195,184,-24,88,-14
9,2014-10-29,Memphis,Minnesota,198.0,8.5,99.5,2.5,-350,290,206,4,106,-2
10,2014-10-29,Denver,Detroit,211.0,7.5,100.5,3.0,-270,225,168,10,86,8
11,2014-10-29,Utah,Houston,203.0,4.5,101.5,0.5,135,-160,197,-11,89,-3
12,2014-10-29,Phoenix,LA Lakers,207.0,8.5,103.5,4.5,-1100,750,218,20,109,11
13,2014-10-29,Sacramento,Golden State,204.5,4.0,104,5,166,-195,172,-18,76,-20
14,2014-10-29,Portland,Okla City,201.5,4.5,102.0,7.5,-475,380,195,17,92,22
15,2014-10-30,Orlando,Washington,189.0,5.0,94.0,2.5,161,-190,203,-7,98,-4
16,2014-10-30,Cleveland,New York,199.0,10.0,100,8,-1325,825,185,-5,99,-7
17,2014-10-30,Minnesota,Detroit,205.0,3.5,101,3,-230,195,188,6,99,5
18,2014-10-30,Dallas,Utah,202.5,9.5,102,1,-650,500,222,18,109,-7
19,2014-10-30,LA Clippers,Okla City,202.0,9.5,100,9,-1200,800,183,3,96,-2
20,2014-10-31,Indiana,Memphis,186.0,5.5,94.5,6.5,225,-270,186,-8,88,-16
21,2014-10-31,Chicago,Cleveland,193.5,2.5,98.0,3.5,-180,155,222,-6,86,6
22,2014-10-31,Milwaukee,Philadelphia,200.0,8.0,102,6,-420,340,174,12,81,13
23,2014-10-31,Sacramento,Portland,201.0,5.5,99.5,3.5,161,-190,197,9,101,9
24,2014-10-31,Phoenix,San Antonio,206.0,1.5,105.5,3.0,-105,-115,183,5,102,14
25,2014-10-31,LA Lakers,LA Clippers,210.0,11.5,105.5,5.5,600,-900,229,-7,111,-1
26,2014-11-01,Charlotte,Memphis,188.5,2.5,93,3,-160,135,140,-2,74,4
