,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2013-10-29,Indiana,Orlando,187.0,12.5,94.5,9.5,-1025,675,184,10,100,14
1,2013-10-29,Miami,Chicago,187.5,5.0,93.5,3.5,-220,180,202,12,115,-9
2,2013-10-29,LA Lakers,LA Clippers,196.5,9.0,103.0,5.5,435,-575,219,13,107,15
3,2013-10-30,Philadelphia,Miami,195.5,9.5,96.5,9.0,495,-795,224,4,124,2
4,2013-10-30,Cleveland,Brooklyn,196.0,3.0,98,3,135,-155,192,4,95,3
5,2013-10-30,Toronto,Boston,190.0,7.5,93.5,1.5,-385,305,180,6,94,-6
6,2013-10-30,Detroit,Washington,190.5,3.0,93,3,-140,120,215,11,117,-1
7,2013-10-30,New York,Milwaukee,197.5,9.0,97,2,-360,290,173,7,86,-18
8,2013-10-30,Houston,Charlotte,204.5,12.0,98,6,-1630,1030,179,13,95,7
9,2013-10-30,Minnesota,Orlando,196.0,9.0,100,4,-795,495,235,5,94,-8
10,2013-10-30,New Orleans,Indiana,186.5,3.0,95.5,3.5,-120,100,185,-5,99,-19
11,2013-10-30,Dallas,Atlanta,196.0,4.5,98.5,5.0,-245,205,227,9,119,11
12,2013-10-30,San Antonio,Memphis,187.0,6.0,92.5,3.0,-250,210,195,7,120,-14
13,2013-10-30,Utah,Okla City,196.0,4.5,93.5,0.5,225,-275,199,-3,94,6
14,2013-10-30,Phoenix,Portland,198.0,3.0,98.5,6.0,180,-215,195,13,99,9
15,2013-10-30,Sacramento,Denver,207.5,3.0,101.5,0.5,-140,120,178,2,85,-1
16,2013-10-30,Golden State,LA Lakers,203.5,11.0,101.5,1.5,-1090,690,219,31,120,12
17,2013-10-31,Chicago,New York,189.5,7.5,93.5,3.0,-350,290,163,1,82,-4
18,2013-10-31,LA Clippers,Golden State,203.0,7.0,103.5,2.0,-250,210,241,11,118,-2
19,2013-11-01,Orlando,New Orleans,194.5,4.0,97.0,6.5,155,-175,200,20,112,2
20,2013-11-01,Charlotte,Cleveland,190.5,1.5,94.0,3.5,145,-165,174,6,71,1
21,2013-11-01,Washington,Philadelphia,196.5,8.5,99,2,-530,405,211,-7,113,-17
22,2013-11-01,Atlanta,Toronto,194.0,3.5,95.0,1.5,-160,140,197,7,109,-3
23,2013-11-01,Boston,Milwaukee,191.0,2.5,91.5,3.0,-140,120,203,-7,93,-23
24,2013-11-01,Houston,Dallas,202.0,7.5,pk,104,-280,230,218,8,107,-3
25,2013-11-01,Memphis,Detroit,186.5,7.5,94,2,-335,275,219,3,102,-6
26,2013-11-01,Minnesota,Okla City,200.5,1.0,99.5,4.5,-135,115,181,19,83,-1
27,2013-11-01,Brooklyn,Miami,194.5,3.0,97.5,3.0,150,-170,201,1,107,1
28,2013-11-01,Denver,Portland,199.5,6.0,99.0,6.5,-190,165,211,-15,97,-1
29,2013-11-01,Phoenix,Utah,197.0,3.0,99,3,-155,135,171,3,82,6
30,2013-11-01,Sacramento,LA Clippers,196.0,4.0,100.5,0.5,145,-165,211,-9,112,0
31,2013-11-01,LA Lakers,San Antonio,205.5,7.0,105,6,285,-345,176,-6,93,-7
32,2013-11-02,Indiana,Cleveland,189.0,8.5,94,3,-430,350,163,15,83,9
33,2013-11-02,Philadelphia,Chicago,192.0,9.0,97.5,1.0,370,-450,211,3,98,18
34,2013-11-02,New Orleans,Charlotte,189.5,7.5,91.5,1.0,-420,340,189,21,92,6
35,2013-11-02,Dallas,Memphis,190.0,2.0,97.5,0.5,-150,100,210,12,118,6
36,2013-11-02,Utah,Houston,201.0,6.0,100.0,7.5,220,-260,197,-11,101,-27
37,2013-11-02,Portland,San Antonio,197.0,3.0,100.0,4.5,120,-140,220,10,131,-1
38,2013-11-02,Golden State,Sacramento,207.0,9.5,103.0,0.5,-750,520,185,11,93,-9
39,2013-11-03,Detroit,Boston,191.5,9.5,96,2,-471,367,164,10,84,0
40,2013-11-03,Miami,Washington,200.0,13.5,100.5,3.5,-1500,890,196,10,87,-3
41,2013-11-03,Orlando,Brooklyn,197.0,6.0,96.5,5.0,200,-240,193,21,114,18
42,2013-11-03,Okla City,Phoenix,197.0,13.5,99,8,-1400,850,199,7,110,8
43,2013-11-03,New York,Minnesota,195.0,4.0,97.5,6.0,-155,135,209,-9,96,6
44,2013-11-03,LA Lakers,Atlanta,205.0,2.5,104.5,3.5,100,-120,208,2,97,-11
45,2013-11-04,Philadelphia,Golden State,211.5,7.0,104.5,2.5,230,-280,200,-20,92,4
46,2013-11-04,Cleveland,Minnesota,195.5,1.5,98,4,-130,110,185,1,92,-16
47,2013-11-04,Memphis,Boston,188.0,11.5,93.5,9.5,-1060,660,183,7,87,11
48,2013-11-04,LA Clippers,Houston,205.5,4.5,107.0,1.5,-205,175,255,19,111,7
49,2013-11-05,Toronto,Miami,196.0,6.0,97.5,3.0,182,-215,199,-9,97,-7
50,2013-11-05,Brooklyn,Utah,190.5,11.5,97.5,1.0,-570,435,192,16,100,0
51,2013-11-05,New York,Charlotte,189.0,9.5,94,9,-550,425,199,-5,81,5
52,2013-11-05,Detroit,Indiana,187.0,2.0,93.5,1.0,-101,-119,190,-8,111,-11
53,2013-11-05,New Orleans,Phoenix,193.0,9.5,96.5,4.5,-525,405,202,-6,116,-10
54,2013-11-05,Dallas,LA Lakers,213.0,9.0,pk,105,-455,355,227,19,112,0
55,2013-11-05,Denver,San Antonio,201.5,2.0,103.0,5.5,175,-205,196,-8,101,-17
56,2013-11-05,Portland,Houston,205.0,1.5,104.0,1.5,-145,125,217,-15,112,-10
57,2013-11-05,Sacramento,Atlanta,201.5,2.0,99.0,3.5,-135,115,205,-5,106,4
58,2013-11-06,Orlando,LA Clippers,209.5,7.5,104,8,240,-290,188,8,89,-7
59,2013-11-06,Indiana,Chicago,183.5,2.5,91.0,2.5,-130,110,177,17,97,23
60,2013-11-06,Charlotte,Toronto,185.0,2.5,93,2,125,-145,182,2,76,2
61,2013-11-06,Philadelphia,Washington,207.0,1.5,101.5,1.5,130,-150,218,-14,107,-5
62,2013-11-06,Boston,Utah,184.0,4.0,93.5,2.5,-190,162,184,10,100,-6
63,2013-11-06,Memphis,New Orleans,188.0,7.5,96.5,7.0,-320,265,183,-15,91,-5
64,2013-11-06,Milwaukee,Cleveland,186.0,1.5,97.0,3.5,130,-150,213,5,105,3
65,2013-11-06,Minnesota,Golden State,208.5,1.0,105,1,-105,-115,199,-13,102,-10
66,2013-11-06,San Antonio,Phoenix,197.0,14.5,100,9,-1400,850,195,3,91,5
67,2013-11-06,Okla City,Dallas,210.0,8.5,105.0,2.5,-294,243,200,14,92,8
68,2013-11-07,Miami,LA Clippers,211.0,5.0,103.5,6.5,-260,215,199,5,91,9
69,2013-11-07,Denver,Atlanta,204.5,3.0,102.0,2.5,-205,175,216,2,111,-1
70,2013-11-07,Houston,LA Lakers,217.5,13.5,108.5,12.0,-1700,970,197,-1,83,13
71,2013-11-08,Charlotte,New York,189.0,1.5,94.0,1.5,135,-155,192,-10,94,-6
72,2013-11-08,Indiana,Toronto,185.0,8.5,94.0,6.5,-425,325,175,7,85,9
73,2013-11-08,Orlando,Boston,189.0,7.5,95.5,2.5,-230,190,180,-2,85,-5
74,2013-11-08,Philadelphia,Cleveland,201.5,4.0,101.5,3.0,135,-155,173,15,87,13
75,2013-11-08,Washington,Brooklyn,199.0,2.0,99.5,0.5,100,-120,220,4,87,5
76,2013-11-08,Detroit,Okla City,196.5,3.5,98,1,135,-155,229,-9,123,-5
77,2013-11-08,Chicago,Utah,186.0,12.5,94,3,-1105,705,170,24,79,13
78,2013-11-08,Minnesota,Dallas,209.0,3.5,105.0,3.5,-185,160,224,8,113,9
79,2013-11-08,New Orleans,LA Lakers,203.5,9.0,101.5,3.5,-505,395,181,11,78,4
80,2013-11-08,San Antonio,Golden State,202.5,4.5,99.5,1.0,-245,205,150,2,77,-5
81,2013-11-08,Phoenix,Denver,199.5,2.5,99.5,4.0,-125,105,217,11,106,-6
