,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2010-10-26,Boston,Miami,193.0,2.0,94,5,105,-125,168,8,93,-7
1,2010-10-26,Portland,Phoenix,200.5,5.5,101.5,3.5,-310,255,198,14,102,10
2,2010-10-26,LA Lakers,Houston,202.0,9.5,99,7,-310,255,222,2,109,13
3,2010-10-27,Brooklyn,Detroit,194.5,4.0,94.5,4.0,-165,145,199,3,113,11
4,2010-10-27,Cleveland,Boston,189.0,3.0,91.5,2.5,170,-200,182,8,89,9
5,2010-10-27,Toronto,New York,209.5,2.5,107,1,-114,103,191,-5,93,-1
6,2010-10-27,Philadelphia,Miami,191.0,8.0,97.0,2.5,310,-380,184,-10,94,-2
7,2010-10-27,Memphis,Atlanta,198.0,5.5,96,4,-130,110,223,-15,111,-3
8,2010-10-27,Minnesota,Sacramento,196.5,4.5,101.5,0.5,-155,135,233,-1,122,-6
9,2010-10-27,New Orleans,Milwaukee,193.5,3.5,95,2,-150,130,186,4,92,4
10,2010-10-27,Okla City,Chicago,195.0,6.0,95.5,2.5,-270,230,201,11,88,6
11,2010-10-27,Dallas,Charlotte,190.5,6.5,92.5,3.0,-300,250,187,15,93,11
12,2010-10-27,San Antonio,Indiana,202.5,9.0,102,6,-430,335,231,13,100,12
13,2010-10-27,Denver,Utah,204.0,4.5,106.0,3.5,-155,135,198,22,98,2
14,2010-10-27,Golden State,Houston,210.0,4.0,110.0,2.5,-155,135,260,4,125,5
15,2010-10-27,LA Clippers,Portland,197.5,2.0,95.0,0.5,120,-140,186,-10,83,-5
16,2010-10-28,Orlando,Washington,193.5,13.0,93.5,1.0,-1450,1025,195,29,103,5
17,2010-10-28,Utah,Phoenix,208.5,6.0,104.5,7.5,-320,260,204,-16,104,0
18,2010-10-29,Charlotte,Indiana,191.5,5.5,97.5,0.5,-200,170,205,-3,97,-11
19,2010-10-29,Brooklyn,Sacramento,199.0,2.0,98.5,1.5,-135,115,206,6,92,-2
20,2010-10-29,Philadelphia,Atlanta,194.5,3.5,97,1,145,-165,205,-3,91,7
21,2010-10-29,Toronto,Cleveland,197.0,3.0,pk,95.5,-170,150,182,20,98,12
22,2010-10-29,Boston,New York,198.0,9.0,100.5,5.0,-500,400,206,4,110,0
23,2010-10-29,Detroit,Okla City,196.0,6.0,96,2,220,-260,209,-1,102,4
24,2010-10-29,Miami,Orlando,184.0,4.0,pk,94,-160,140,166,26,70,20
25,2010-10-29,Minnesota,Milwaukee,201.0,4.0,102.0,4.5,165,-190,181,11,80,2
26,2010-10-29,New Orleans,Denver,205.0,1.0,104.5,1.5,-130,110,196,6,87,-3
27,2010-10-29,Dallas,Memphis,199.0,11.5,97.5,2.0,-500,400,181,-1,90,-10
28,2010-10-29,Golden State,LA Clippers,218.0,5.5,108.5,2.5,-260,220,200,18,88,14
29,2010-10-29,Phoenix,LA Lakers,211.5,4.0,103.0,0.5,160,-180,220,-8,113,-1
30,2010-10-30,Atlanta,Washington,194.0,10.0,96.5,4.5,-550,425,194,4,110,0
31,2010-10-30,Cleveland,Sacramento,196.0,3.0,94.5,3.0,-135,115,211,-3,91,-17
32,2010-10-30,New York,Portland,197.5,4.0,99.0,3.5,165,-190,195,-5,107,-5
33,2010-10-30,Indiana,Philadelphia,205.0,4.5,104.0,3.5,-210,175,185,13,83,13
