,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2015-10-27,Chicago,Cleveland,197.5,2.0,pk,97,-180,160,192,2,106,-4
1,2015-10-27,Atlanta,Detroit,197.5,7.0,98,7,-320,255,200,-12,109,-7
2,2015-10-27,Golden State,New Orleans,214.5,9.5,108,3,-710,510,206,16,98,6
3,2015-10-28,Orlando,Washington,204.5,3.5,100.5,2.5,160,-180,175,-1,71,1
4,2015-10-28,Boston,Philadelphia,198.0,11.0,98.5,4.5,-1300,800,207,17,116,6
5,2015-10-28,Toronto,Indiana,198.5,5.5,103.0,4.5,-235,195,205,7,123,15
6,2015-10-28,Brooklyn,Chicago,194.5,6.0,100.5,2.5,175,-205,215,-15,102,-12
7,2015-10-28,Miami,Charlotte,193.0,6.5,94.0,0.5,-260,210,198,10,100,0
8,2015-10-28,Detroit,Utah,188.0,2.0,100.0,0.5,-115,-105,179,5,94,8
9,2015-10-28,Okla City,San Antonio,208.0,5.0,108.5,3.5,-185,165,218,6,113,11
10,2015-10-28,Milwaukee,New York,192.5,6.5,98.5,5.5,-205,175,219,-25,105,-13
11,2015-10-28,Houston,Denver,212.5,10.0,106,9,-710,510,190,-20,88,-16
12,2015-10-28,Memphis,Cleveland,188.5,6.0,93.5,7.5,-215,185,182,-30,97,-9
13,2015-10-28,Portland,New Orleans,206.0,2.5,102,5,-125,105,206,18,93,-9
14,2015-10-28,Phoenix,Dallas,204.0,4.5,102,6,-260,210,206,-16,107,-7
15,2015-10-28,Sacramento,LA Clippers,210.5,5.0,106.0,0.5,190,-230,215,-7,113,3
16,2015-10-28,LA Lakers,Minnesota,202.5,3.5,104.5,1.5,-140,120,223,-1,112,-10
17,2015-10-29,Indiana,Memphis,185.0,3.0,97.0,2.5,125,-145,215,-9,116,-8
18,2015-10-29,New York,Atlanta,196.0,4.0,101.5,2.5,165,-185,213,-11,107,5
19,2015-10-29,LA Clippers,Dallas,211.5,9.0,105,6,-950,650,192,16,98,8
20,2015-10-30,Cleveland,Miami,196.0,7.0,98.0,1.5,-215,185,194,10,105,5
21,2015-10-30,Philadelphia,Utah,190.0,7.5,95.5,1.0,260,-325,170,-28,87,-11
22,2015-10-30,Orlando,Okla City,206.0,6.5,104.0,8.5,300,-365,275,-3,114,-14
23,2015-10-30,Boston,Toronto,203.5,1.5,101,1,-130,110,216,-10,108,-10
24,2015-10-30,Detroit,Chicago,200.0,3.0,103.5,0.5,125,-145,192,4,92,4
