,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2012-10-30,Cleveland,Washington,191.0,5.5,94.5,0.5,-250,210,178,10,89,-1
1,2012-10-30,Miami,Boston,184.0,8.0,95,1,-280,240,227,13,111,5
2,2012-10-30,LA Lakers,Dallas,187.0,8.5,94,7,-500,400,190,-8,96,-6
3,2012-10-31,Toronto,Indiana,188.5,3.5,96.0,1.5,100,-120,178,-2,82,-2
4,2012-10-31,Philadelphia,Denver,201.0,2.0,97,3,110,-130,159,9,75,1
5,2012-10-31,Detroit,Houston,188.0,3.0,97.5,0.5,-135,115,201,-9,88,-12
6,2012-10-31,New Orleans,San Antonio,189.0,6.0,93,6,255,-305,194,-4,101,-11
7,2012-10-31,Chicago,Sacramento,189.0,7.5,94.0,2.5,-275,235,180,6,96,2
8,2012-10-31,Utah,Dallas,190.5,7.0,98.0,6.5,-400,330,207,19,89,27
9,2012-10-31,Phoenix,Golden State,201.5,3.5,100.5,2.5,-140,120,172,-2,82,4
10,2012-10-31,LA Clippers,Memphis,187.5,4.5,93.5,5.0,-175,155,193,9,91,13
11,2012-10-31,Portland,LA Lakers,190.5,3.5,97.5,2.5,115,-135,222,10,103,5
12,2012-11-01,San Antonio,Okla City,201.0,3.0,101.0,0.5,-130,110,170,2,85,-3
13,2012-11-02,Charlotte,Indiana,185.0,6.5,90.5,3.0,250,-300,179,1,97,5
14,2012-11-02,Orlando,Denver,197.0,5.5,97.5,7.5,210,-250,191,13,96,-8
15,2012-11-02,Atlanta,Houston,199.0,5.5,100.5,5.0,-220,180,211,-7,114,2
16,2012-11-02,Boston,Milwaukee,193.0,7.5,96.0,8.5,-330,270,187,-11,111,5
17,2012-11-02,Cleveland,Chicago,184.0,2.5,90.0,4.5,130,-150,201,-29,106,-4
18,2012-11-02,New Orleans,Utah,189.0,3.5,96.5,2.0,145,-165,174,2,93,3
19,2012-11-02,Minnesota,Sacramento,195.5,3.0,96.5,1.0,-150,130,172,12,81,3
20,2012-11-02,Okla City,Portland,201.5,9.5,100,3,-450,350,198,14,107,7
21,2012-11-02,New York,Miami,194.0,5.5,98,7,220,-260,188,20,89,9
22,2012-11-02,Phoenix,Detroit,194.5,4.0,pk,97.5,-200,170,181,3,81,-5
23,2012-11-02,Golden State,Memphis,191.5,1.0,97.0,0.5,-102,-108,198,-10,100,-6
24,2012-11-02,LA Lakers,LA Clippers,190.0,5.0,96.5,1.0,110,-130,200,-10,101,-5
25,2012-11-03,Washington,Boston,192.5,6.0,95.5,1.5,200,-240,175,-3,84,4
26,2012-11-03,Indiana,Sacramento,192.5,8.5,pk,93.5,-345,285,204,8,84,-14
27,2012-11-03,Miami,Denver,205.0,9.0,99.0,6.5,-445,355,235,3,105,5
28,2012-11-03,Brooklyn,Toronto,191.0,6.0,97.5,0.5,-235,200,207,7,95,-1
29,2012-11-03,Chicago,New Orleans,184.5,9.0,88.0,6.5,-580,455,171,-7,81,-5
30,2012-11-03,Houston,Portland,201.0,5.0,102.5,0.5,-230,195,180,-10,80,-8
