,team,opponent,date,index,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_DRB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,team_PTS,team_TS%,team_eFG%,team_3PAr,team_FTr,team_ORB%,team_DRB%,team_TRB%,team_AST%,team_STL%,team_BLK%,team_TOV%,team_USG%,team_ORtg,team_DRtg,team_TSA,team_FTAr,team_2P,team_2PA,team_2P%,team_2PAr,team_ORBr,team_DRBr,team_AST/TOV,team_STL/TOV,team_FIC,team_FT/FGA,team_HOB,team_+/-,opponent_FG,opponent_FGA,opponent_FG%,opponent_3P,opponent_3PA,opponent_3P%,opponent_FT,opponent_FTA,opponent_FT%,opponent_ORB,opponent_DRB,opponent_TRB,opponent_AST,opponent_STL,opponent_BLK,opponent_TOV,opponent_PF,opponent_PTS,opponent_TS%,opponent_eFG%,opponent_3PAr,opponent_FTr,opponent_ORB%,opponent_DRB%,opponent_TRB%,opponent_AST%,opponent_STL%,opponent_BLK%,opponent_TOV%,opponent_USG%,opponent_ORtg,opponent_DRtg,opponent_TSA,opponent_FTAr,opponent_2P,opponent_2PA,opponent_2P%,opponent_2PAr,opponent_ORBr,opponent_DRBr,opponent_AST/TOV,opponent_STL/TOV,opponent_FIC,opponent_FT/FGA,opponent_HOB,opponent_+/-,home
0,Cleveland Cavaliers,Washington Wizards,201210300,Cleveland Cavaliers1,36.0,79.0,0.4556962025316456,7.0,20.0,0.35,15.0,22.0,0.6818181818181818,18.0,36.0,54.0,22.0,7.0,5.0,20.0,21.0,94.0,0.5299954894000902,0.5,0.2531645569620253,0.278,46.2,66.7,58.1,61.1,8.0,8.6,18.4,100.0,106.9,95.5,88.68,0.27848101265822783,29.0,59.0,0.4915254237288136,0.7468354430379747,0.3333333333333333,0.6666666666666666,1.1,0.35,75.0,0.18987341772151897,1.6111111111111112,10.0,32.0,90.0,0.3555555555555556,8.0,32.0,0.25,12.0,20.0,0.6,18.0,21.0,39.0,26.0,11.0,10.0,12.0,19.0,84.0,0.4251012145748988,0.4,0.3555555555555556,0.222,33.3,53.8,41.9,81.3,12.5,16.9,10.8,100.0,95.5,106.9,98.8,0.2222222222222222,24.0,58.0,0.4137931034482759,0.6444444444444445,0.4615384615384616,0.5384615384615384,2.1666666666666665,0.9166666666666666,68.25,0.13333333333333333,1.8125,-10.0,1
1,Washington Wizards,Cleveland Cavaliers,201210300,Cleveland Cavaliers1,32.0,90.0,0.3555555555555556,8.0,32.0,0.25,12.0,20.0,0.6,18.0,21.0,39.0,26.0,11.0,10.0,12.0,19.0,84.0,0.4251012145748988,0.4,0.3555555555555556,0.222,33.3,53.8,41.9,81.3,12.5,16.9,10.8,100.0,95.5,106.9,98.8,0.2222222222222222,24.0,58.0,0.4137931034482759,0.6444444444444445,0.4615384615384616,0.5384615384615384,2.1666666666666665,0.9166666666666666,68.25,0.13333333333333333,1.8125,-10.0,36.0,79.0,0.4556962025316456,7.0,20.0,0.35,15.0,22.0,0.6818181818181818,18.0,36.0,54.0,22.0,7.0,5.0,20.0,21.0,94.0,0.5299954894000902,0.5,0.2531645569620253,0.278,46.2,66.7,58.1,61.1,8.0,8.6,18.4,100.0,106.9,95.5,88.68,0.27848101265822783,29.0,59.0,0.4915254237288136,0.7468354430379747,0.3333333333333333,0.6666666666666666,1.1,0.35,75.0,0.18987341772151897,1.6111111111111112,10.0,0
2,Los Angeles Lakers,Dallas Mavericks,201210300,Los Angeles Lakers1,38.0,77.0,0.4935064935064935,3.0,13.0,0.2307692307692308,12.0,31.0,0.3870967741935484,15.0,31.0,46.0,24.0,6.0,5.0,14.0,21.0,91.0,0.5019858781994704,0.512987012987013,0.16883116883116886,0.40299999999999997,32.6,77.5,53.5,63.2,6.6,7.1,13.4,100.0,99.9,108.7,90.64,0.4025974025974026,35.0,64.0,0.546875,0.8311688311688312,0.32608695652173914,0.6739130434782609,1.7142857142857142,0.42857142857142855,70.375,0.15584415584415584,1.631578947368421,-8.0,40.0,85.0,0.4705882352941176,5.0,15.0,0.3333333333333333,14.0,18.0,0.7777777777777778,9.0,31.0,40.0,22.0,9.0,5.0,11.0,25.0,99.0,0.5327163151097718,0.5,0.17647058823529413,0.212,22.5,67.4,46.5,55.0,9.9,7.8,10.6,100.0,108.7,99.9,92.92,0.21176470588235294,35.0,70.0,0.5,0.8235294117647058,0.225,0.775,2.0,0.8181818181818182,73.25,0.16470588235294115,1.55,8.0,1
3,Dallas Mavericks,Los Angeles Lakers,201210300,Los Angeles Lakers1,40.0,85.0,0.4705882352941176,5.0,15.0,0.3333333333333333,14.0,18.0,0.7777777777777778,9.0,31.0,40.0,22.0,9.0,5.0,11.0,25.0,99.0,0.5327163151097718,0.5,0.17647058823529413,0.212,22.5,67.4,46.5,55.0,9.9,7.8,10.6,100.0,108.7,99.9,92.92,0.21176470588235294,35.0,70.0,0.5,0.8235294117647058,0.225,0.775,2.0,0.8181818181818182,73.25,0.16470588235294115,1.55,8.0,38.0,77.0,0.4935064935064935,3.0,13.0,0.2307692307692308,12.0,31.0,0.3870967741935484,15.0,31.0,46.0,24.0,6.0,5.0,14.0,21.0,91.0,0.5019858781994704,0.512987012987013,0.16883116883116886,0.40299999999999997,32.6,77.5,53.5,63.2,6.6,7.1,13.4,100.0,99.9,108.7,90.64,0.4025974025974026,35.0,64.0,0.546875,0.8311688311688312,0.32608695652173914,0.6739130434782609,1.7142857142857142,0.42857142857142855,70.375,0.15584415584415584,1.631578947368421,-8.0,0
4,Miami Heat,Boston Celtics,201210300,Miami Heat1,43.0,79.0,0.5443037974683544,8.0,16.0,0.5,26.0,32.0,0.8125,5.0,31.0,36.0,25.0,8.0,5.0,8.0,20.0,120.0,0.6446067898581865,0.5949367088607594,0.20253164556962025,0.405,12.8,81.6,46.8,58.1,8.5,8.1,7.9,100.0,127.0,113.2,93.08,0.4050632911392405,35.0,63.0,0.5555555555555556,0.7974683544303798,0.1388888888888889,0.8611111111111112,3.125,1.0,97.0,0.3291139240506329,1.5813953488372092,13.0,39.0,75.0,0.52,6.0,13.0,0.4615384615384616,23.0,28.0,0.8214285714285714,7.0,34.0,41.0,24.0,4.0,2.0,15.0,23.0,107.0,0.6126889601465874,0.56,0.17333333333333334,0.373,18.4,87.2,53.2,61.5,4.2,3.2,14.7,100.0,113.2,127.0,87.32,0.37333333333333335,33.0,62.0,0.532258064516129,0.8266666666666667,0.17073170731707318,0.8292682926829268,1.6,0.26666666666666666,76.25,0.30666666666666664,1.6153846153846154,-13.0,1
5,Boston Celtics,Miami Heat,201210300,Miami Heat1,39.0,75.0,0.52,6.0,13.0,0.4615384615384616,23.0,28.0,0.8214285714285714,7.0,34.0,41.0,24.0,4.0,2.0,15.0,23.0,107.0,0.6126889601465874,0.56,0.17333333333333334,0.373,18.4,87.2,53.2,61.5,4.2,3.2,14.7,100.0,113.2,127.0,87.32,0.37333333333333335,33.0,62.0,0.532258064516129,0.8266666666666667,0.17073170731707318,0.8292682926829268,1.6,0.26666666666666666,76.25,0.30666666666666664,1.6153846153846154,-13.0,43.0,79.0,0.5443037974683544,8.0,16.0,0.5,26.0,32.0,0.8125,5.0,31.0,36.0,25.0,8.0,5.0,8.0,20.0,120.0,0.6446067898581865,0.5949367088607594,0.20253164556962025,0.405,12.8,81.6,46.8,58.1,8.5,8.1,7.9,100.0,127.0,113.2,93.08,0.4050632911392405,35.0,63.0,0.5555555555555556,0.7974683544303798,0.1388888888888889,0.8611111111111112,3.125,1.0,97.0,0.3291139240506329,1.5813953488372092,13.0,0
6,Chicago Bulls,Sacramento Kings,201210310,Chicago Bulls1,33.0,79.0,0.4177215189873418,2.0,9.0,0.2222222222222222,25.0,33.0,0.7575757575757576,14.0,32.0,46.0,21.0,8.0,10.0,18.0,19.0,93.0,0.4972198460222412,0.4303797468354431,0.1139240506329114,0.418,32.6,74.4,53.5,63.6,8.4,14.9,16.1,100.0,98.0,91.6,93.52,0.4177215189873418,31.0,70.0,0.4428571428571429,0.8860759493670886,0.3043478260869565,0.6956521739130435,1.1666666666666667,0.4444444444444444,70.875,0.3164556962025317,1.6363636363636365,6.0,34.0,84.0,0.4047619047619048,6.0,17.0,0.35294117647058826,13.0,16.0,0.8125,11.0,29.0,40.0,14.0,10.0,5.0,19.0,29.0,87.0,0.4778119507908611,0.4404761904761905,0.2023809523809524,0.19,25.6,67.4,46.5,41.2,10.5,7.1,17.3,100.0,91.6,98.0,91.04,0.19047619047619047,28.0,67.0,0.41791044776119396,0.7976190476190477,0.275,0.725,0.7368421052631579,0.5263157894736842,46.25,0.15476190476190474,1.4117647058823528,-6.0,1
7,Sacramento Kings,Chicago Bulls,201210310,Chicago Bulls1,34.0,84.0,0.4047619047619048,6.0,17.0,0.35294117647058826,13.0,16.0,0.8125,11.0,29.0,40.0,14.0,10.0,5.0,19.0,29.0,87.0,0.4778119507908611,0.4404761904761905,0.2023809523809524,0.19,25.6,67.4,46.5,41.2,10.5,7.1,17.3,100.0,91.6,98.0,91.04,0.19047619047619047,28.0,67.0,0.41791044776119396,0.7976190476190477,0.275,0.725,0.7368421052631579,0.5263157894736842,46.25,0.15476190476190474,1.4117647058823528,-6.0,33.0,79.0,0.4177215189873418,2.0,9.0,0.2222222222222222,25.0,33.0,0.7575757575757576,14.0,32.0,46.0,21.0,8.0,10.0,18.0,19.0,93.0,0.4972198460222412,0.4303797468354431,0.1139240506329114,0.418,32.6,74.4,53.5,63.6,8.4,14.9,16.1,100.0,98.0,91.6,93.52,0.4177215189873418,31.0,70.0,0.4428571428571429,0.8860759493670886,0.3043478260869565,0.6956521739130435,1.1666666666666667,0.4444444444444444,70.875,0.3164556962025317,1.6363636363636365,6.0,0
8,Detroit Pistons,Houston Rockets,201210310,Detroit Pistons1,35.0,79.0,0.4430379746835443,6.0,16.0,0.375,20.0,26.0,0.7692307692307693,10.0,26.0,36.0,21.0,12.0,4.0,16.0,15.0,96.0,0.5307386112339673,0.4810126582278481,0.20253164556962025,0.32899999999999996,23.3,68.4,44.4,60.0,12.7,7.7,15.0,100.0,101.5,111.0,90.44,0.3291139240506329,29.0,63.0,0.4603174603174603,0.7974683544303798,0.2777777777777778,0.7222222222222222,1.3125,0.75,70.0,0.2531645569620253,1.6,-9.0,39.0,79.0,0.4936708860759494,10.0,27.0,0.3703703703703704,17.0,23.0,0.7391304347826086,12.0,33.0,45.0,28.0,12.0,3.0,20.0,24.0,105.0,0.5890933572710951,0.5569620253164557,0.34177215189873417,0.29100000000000004,31.6,76.7,55.6,71.8,12.7,4.8,18.3,100.0,111.0,101.5,89.12,0.2911392405063291,29.0,52.0,0.5576923076923077,0.6582278481012658,0.26666666666666666,0.7333333333333333,1.4,0.6,84.875,0.21518987341772156,1.7179487179487178,9.0,1
9,Houston Rockets,Detroit Pistons,201210310,Detroit Pistons1,39.0,79.0,0.4936708860759494,10.0,27.0,0.3703703703703704,17.0,23.0,0.7391304347826086,12.0,33.0,45.0,28.0,12.0,3.0,20.0,24.0,105.0,0.5890933572710951,0.5569620253164557,0.34177215189873417,0.29100000000000004,31.6,76.7,55.6,71.8,12.7,4.8,18.3,100.0,111.0,101.5,89.12,0.2911392405063291,29.0,52.0,0.5576923076923077,0.6582278481012658,0.26666666666666666,0.7333333333333333,1.4,0.6,84.875,0.21518987341772156,1.7179487179487178,9.0,35.0,79.0,0.4430379746835443,6.0,16.0,0.375,20.0,26.0,0.7692307692307693,10.0,26.0,36.0,21.0,12.0,4.0,16.0,15.0,96.0,0.5307386112339673,0.4810126582278481,0.20253164556962025,0.32899999999999996,23.3,68.4,44.4,60.0,12.7,7.7,15.0,100.0,101.5,111.0,90.44,0.3291139240506329,29.0,63.0,0.4603174603174603,0.7974683544303798,0.2777777777777778,0.7222222222222222,1.3125,0.75,70.0,0.2531645569620253,1.6,-9.0,0
