,team,opponent,date,index,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_DRB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,team_PTS,team_TS%,team_eFG%,team_3PAr,team_FTr,team_ORB%,team_DRB%,team_TRB%,team_AST%,team_STL%,team_BLK%,team_TOV%,team_USG%,team_ORtg,team_DRtg,team_TSA,team_FTAr,team_2P,team_2PA,team_2P%,team_2PAr,team_ORBr,team_DRBr,team_AST/TOV,team_STL/TOV,team_FIC,team_FT/FGA,team_HOB,team_+/-,opponent_FG,opponent_FGA,opponent_FG%,opponent_3P,opponent_3PA,opponent_3P%,opponent_FT,opponent_FTA,opponent_FT%,opponent_ORB,opponent_DRB,opponent_TRB,opponent_AST,opponent_STL,opponent_BLK,opponent_TOV,opponent_PF,opponent_PTS,opponent_TS%,opponent_eFG%,opponent_3PAr,opponent_FTr,opponent_ORB%,opponent_DRB%,opponent_TRB%,opponent_AST%,opponent_STL%,opponent_BLK%,opponent_TOV%,opponent_USG%,opponent_ORtg,opponent_DRtg,opponent_TSA,opponent_FTAr,opponent_2P,opponent_2PA,opponent_2P%,opponent_2PAr,opponent_ORBr,opponent_DRBr,opponent_AST/TOV,opponent_STL/TOV,opponent_FIC,opponent_FT/FGA,opponent_HOB,opponent_+/-,home
0,Los Angeles Lakers,Houston Rockets,201410280,Los Angeles Lakers1,28.0,79.0,0.35443037974683544,3.0,10.0,0.3,31.0,39.0,0.7948717948717948,11.0,25.0,36.0,16.0,7.0,3.0,11.0,32.0,90.0,0.4679700499168054,0.3734177215189873,0.12658227848101267,0.494,25.0,64.1,43.4,57.1,7.7,6.8,10.3,100.0,99.0,118.8,96.16,0.4936708860759494,25.0,69.0,0.3623188405797101,0.8734177215189873,0.3055555555555556,0.6944444444444444,1.4545454545454546,0.6363636363636364,44.875,0.3924050632911392,1.5714285714285714,-18.0,31.0,73.0,0.4246575342465753,12.0,29.0,0.4137931034482759,34.0,50.0,0.68,14.0,33.0,47.0,22.0,7.0,3.0,13.0,30.0,108.0,0.5684210526315789,0.5068493150684932,0.3972602739726027,0.685,35.9,75.0,56.6,71.0,7.7,4.3,12.0,100.0,118.8,99.0,95.0,0.6849315068493149,19.0,44.0,0.4318181818181818,0.6027397260273972,0.2978723404255319,0.7021276595744681,1.6923076923076923,0.5384615384615384,77.25,0.4657534246575342,1.7096774193548387,18.0,1
1,Houston Rockets,Los Angeles Lakers,201410280,Los Angeles Lakers1,31.0,73.0,0.4246575342465753,12.0,29.0,0.4137931034482759,34.0,50.0,0.68,14.0,33.0,47.0,22.0,7.0,3.0,13.0,30.0,108.0,0.5684210526315789,0.5068493150684932,0.3972602739726027,0.685,35.9,75.0,56.6,71.0,7.7,4.3,12.0,100.0,118.8,99.0,95.0,0.6849315068493149,19.0,44.0,0.4318181818181818,0.6027397260273972,0.2978723404255319,0.7021276595744681,1.6923076923076923,0.5384615384615384,77.25,0.4657534246575342,1.7096774193548387,18.0,28.0,79.0,0.35443037974683544,3.0,10.0,0.3,31.0,39.0,0.7948717948717948,11.0,25.0,36.0,16.0,7.0,3.0,11.0,32.0,90.0,0.4679700499168054,0.3734177215189873,0.12658227848101267,0.494,25.0,64.1,43.4,57.1,7.7,6.8,10.3,100.0,99.0,118.8,96.16,0.4936708860759494,25.0,69.0,0.3623188405797101,0.8734177215189873,0.3055555555555556,0.6944444444444444,1.4545454545454546,0.6363636363636364,44.875,0.3924050632911392,1.5714285714285714,-18.0,0
2,New Orleans Pelicans,Orlando Magic,201410280,New Orleans Pelicans1,41.0,101.0,0.405940594059406,4.0,17.0,0.2352941176470588,15.0,31.0,0.4838709677419355,26.0,36.0,62.0,20.0,10.0,17.0,9.0,17.0,101.0,0.44050942079553385,0.4257425742574257,0.16831683168316833,0.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,100.0,106.1,88.2,114.64,0.3069306930693069,37.0,84.0,0.4404761904761905,0.8316831683168316,0.41935483870967744,0.5806451612903226,2.2222222222222223,1.1111111111111112,96.125,0.1485148514851485,1.4878048780487805,17.0,32.0,84.0,0.3809523809523809,4.0,11.0,0.3636363636363637,16.0,21.0,0.7619047619047619,16.0,40.0,56.0,17.0,5.0,9.0,18.0,25.0,84.0,0.4504504504504505,0.4047619047619048,0.13095238095238096,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,100.0,88.2,106.1,93.24,0.25,28.0,73.0,0.3835616438356164,0.8690476190476191,0.2857142857142857,0.7142857142857143,0.9444444444444444,0.2777777777777778,59.625,0.19047619047619047,1.53125,-17.0,1
3,Orlando Magic,New Orleans Pelicans,201410280,New Orleans Pelicans1,32.0,84.0,0.3809523809523809,4.0,11.0,0.3636363636363637,16.0,21.0,0.7619047619047619,16.0,40.0,56.0,17.0,5.0,9.0,18.0,25.0,84.0,0.4504504504504505,0.4047619047619048,0.13095238095238096,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,100.0,88.2,106.1,93.24,0.25,28.0,73.0,0.3835616438356164,0.8690476190476191,0.2857142857142857,0.7142857142857143,0.9444444444444444,0.2777777777777778,59.625,0.19047619047619047,1.53125,-17.0,41.0,101.0,0.405940594059406,4.0,17.0,0.2352941176470588,15.0,31.0,0.4838709677419355,26.0,36.0,62.0,20.0,10.0,17.0,9.0,17.0,101.0,0.44050942079553385,0.4257425742574257,0.16831683168316833,0.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,100.0,106.1,88.2,114.64,0.3069306930693069,37.0,84.0,0.4404761904761905,0.8316831683168316,0.41935483870967744,0.5806451612903226,2.2222222222222223,1.1111111111111112,96.125,0.1485148514851485,1.4878048780487805,17.0,0
4,San Antonio Spurs,Dallas Mavericks,201410280,San Antonio Spurs1,37.0,70.0,0.5285714285714286,14.0,28.0,0.5,13.0,16.0,0.8125,9.0,29.0,38.0,23.0,5.0,3.0,20.0,20.0,101.0,0.6555036344755971,0.6285714285714286,0.4,0.22899999999999998,27.3,76.3,53.5,62.2,5.8,5.3,20.6,100.0,117.3,116.1,77.04,0.22857142857142854,23.0,42.0,0.5476190476190477,0.6,0.2368421052631579,0.7631578947368421,1.15,0.25,74.25,0.18571428571428567,1.6216216216216215,1.0,38.0,78.0,0.4871794871794872,8.0,21.0,0.3809523809523809,16.0,19.0,0.8421052631578947,9.0,24.0,33.0,17.0,9.0,3.0,10.0,20.0,100.0,0.5789717461787864,0.5384615384615384,0.2692307692307692,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,100.0,116.1,117.3,86.36,0.2435897435897436,30.0,57.0,0.5263157894736842,0.7307692307692307,0.2727272727272727,0.7272727272727273,1.7,0.9,70.375,0.20512820512820512,1.4473684210526316,-1.0,1
5,Dallas Mavericks,San Antonio Spurs,201410280,San Antonio Spurs1,38.0,78.0,0.4871794871794872,8.0,21.0,0.3809523809523809,16.0,19.0,0.8421052631578947,9.0,24.0,33.0,17.0,9.0,3.0,10.0,20.0,100.0,0.5789717461787864,0.5384615384615384,0.2692307692307692,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,100.0,116.1,117.3,86.36,0.2435897435897436,30.0,57.0,0.5263157894736842,0.7307692307692307,0.2727272727272727,0.7272727272727273,1.7,0.9,70.375,0.20512820512820512,1.4473684210526316,-1.0,37.0,70.0,0.5285714285714286,14.0,28.0,0.5,13.0,16.0,0.8125,9.0,29.0,38.0,23.0,5.0,3.0,20.0,20.0,101.0,0.6555036344755971,0.6285714285714286,0.4,0.22899999999999998,27.3,76.3,53.5,62.2,5.8,5.3,20.6,100.0,117.3,116.1,77.04,0.22857142857142854,23.0,42.0,0.5476190476190477,0.6,0.2368421052631579,0.7631578947368421,1.15,0.25,74.25,0.18571428571428567,1.6216216216216215,1.0,0
6,Boston Celtics,Brooklyn Nets,201410290,Boston Celtics1,49.0,88.0,0.5568181818181818,8.0,22.0,0.3636363636363637,15.0,23.0,0.6521739130434783,9.0,26.0,35.0,28.0,11.0,5.0,12.0,25.0,121.0,0.6165919282511211,0.6022727272727273,0.25,0.261,23.1,74.3,47.3,57.1,11.1,8.2,10.9,100.0,121.8,105.7,98.12,0.26136363636363635,41.0,66.0,0.6212121212121212,0.75,0.2571428571428571,0.7428571428571429,2.333333333333333,0.9166666666666666,94.375,0.17045454545454544,1.5714285714285714,16.0,39.0,80.0,0.4875,7.0,19.0,0.3684210526315789,20.0,26.0,0.7692307692307693,9.0,30.0,39.0,20.0,6.0,7.0,20.0,21.0,105.0,0.5741469816272966,0.53125,0.2375,0.325,25.7,76.9,52.7,51.3,6.0,10.6,17.9,100.0,105.7,121.8,91.44,0.325,32.0,61.0,0.5245901639344263,0.7625,0.2307692307692308,0.7692307692307693,1.0,0.3,69.25,0.25,1.5128205128205128,-16.0,1
7,Brooklyn Nets,Boston Celtics,201410290,Boston Celtics1,39.0,80.0,0.4875,7.0,19.0,0.3684210526315789,20.0,26.0,0.7692307692307693,9.0,30.0,39.0,20.0,6.0,7.0,20.0,21.0,105.0,0.5741469816272966,0.53125,0.2375,0.325,25.7,76.9,52.7,51.3,6.0,10.6,17.9,100.0,105.7,121.8,91.44,0.325,32.0,61.0,0.5245901639344263,0.7625,0.2307692307692308,0.7692307692307693,1.0,0.3,69.25,0.25,1.5128205128205128,-16.0,49.0,88.0,0.5568181818181818,8.0,22.0,0.3636363636363637,15.0,23.0,0.6521739130434783,9.0,26.0,35.0,28.0,11.0,5.0,12.0,25.0,121.0,0.6165919282511211,0.6022727272727273,0.25,0.261,23.1,74.3,47.3,57.1,11.1,8.2,10.9,100.0,121.8,105.7,98.12,0.26136363636363635,41.0,66.0,0.6212121212121212,0.75,0.2571428571428571,0.7428571428571429,2.333333333333333,0.9166666666666666,94.375,0.17045454545454544,1.5714285714285714,16.0,0
8,Charlotte Hornets,Milwaukee Bucks,201410290,Charlotte Hornets1,41.0,101.0,0.405940594059406,6.0,21.0,0.2857142857142857,20.0,29.0,0.6896551724137931,15.0,35.0,50.0,27.0,8.0,9.0,10.0,20.0,108.0,0.4746835443037974,0.4356435643564357,0.2079207920792079,0.287,31.9,92.1,58.8,65.9,7.9,13.6,8.1,100.0,106.8,104.8,113.76,0.2871287128712871,35.0,80.0,0.4375,0.7920792079207921,0.3,0.7,2.7,0.8,86.625,0.19801980198019806,1.6585365853658536,2.0,39.0,80.0,0.4875,7.0,14.0,0.5,21.0,24.0,0.875,3.0,32.0,35.0,25.0,9.0,10.0,14.0,25.0,106.0,0.5852473498233215,0.53125,0.175,0.3,7.9,68.1,41.2,64.1,8.9,12.5,13.4,100.0,104.8,106.8,90.56,0.3,32.0,66.0,0.4848484848484849,0.825,0.08571428571428573,0.9142857142857144,1.7857142857142858,0.6428571428571429,81.5,0.2625,1.641025641025641,-2.0,1
9,Milwaukee Bucks,Charlotte Hornets,201410290,Charlotte Hornets1,39.0,80.0,0.4875,7.0,14.0,0.5,21.0,24.0,0.875,3.0,32.0,35.0,25.0,9.0,10.0,14.0,25.0,106.0,0.5852473498233215,0.53125,0.175,0.3,7.9,68.1,41.2,64.1,8.9,12.5,13.4,100.0,104.8,106.8,90.56,0.3,32.0,66.0,0.4848484848484849,0.825,0.08571428571428573,0.9142857142857144,1.7857142857142858,0.6428571428571429,81.5,0.2625,1.641025641025641,-2.0,41.0,101.0,0.405940594059406,6.0,21.0,0.2857142857142857,20.0,29.0,0.6896551724137931,15.0,35.0,50.0,27.0,8.0,9.0,10.0,20.0,108.0,0.4746835443037974,0.4356435643564357,0.2079207920792079,0.287,31.9,92.1,58.8,65.9,7.9,13.6,8.1,100.0,106.8,104.8,113.76,0.2871287128712871,35.0,80.0,0.4375,0.7920792079207921,0.3,0.7,2.7,0.8,86.625,0.19801980198019806,1.6585365853658536,2.0,0
