,team,opponent,date,index,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_DRB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,team_PTS,team_TS%,team_eFG%,team_3PAr,team_FTr,team_ORB%,team_DRB%,team_TRB%,team_AST%,team_STL%,team_BLK%,team_TOV%,team_USG%,team_ORtg,team_DRtg,team_TSA,team_FTAr,team_2P,team_2PA,team_2P%,team_2PAr,team_ORBr,team_DRBr,team_AST/TOV,team_STL/TOV,team_FIC,team_FT/FGA,team_HOB,team_+/-,opponent_FG,opponent_FGA,opponent_FG%,opponent_3P,opponent_3PA,opponent_3P%,opponent_FT,opponent_FTA,opponent_FT%,opponent_ORB,opponent_DRB,opponent_TRB,opponent_AST,opponent_STL,opponent_BLK,opponent_TOV,opponent_PF,opponent_PTS,opponent_TS%,opponent_eFG%,opponent_3PAr,opponent_FTr,opponent_ORB%,opponent_DRB%,opponent_TRB%,opponent_AST%,opponent_STL%,opponent_BLK%,opponent_TOV%,opponent_USG%,opponent_ORtg,opponent_DRtg,opponent_TSA,opponent_FTAr,opponent_2P,opponent_2PA,opponent_2P%,opponent_2PAr,opponent_ORBr,opponent_DRBr,opponent_AST/TOV,opponent_STL/TOV,opponent_FIC,opponent_FT/FGA,opponent_HOB,opponent_+/-,home
0,Boston Celtics,Miami Heat,201010260,Boston Celtics1,32.0,69.0,0.463768115942029,8.0,16.0,0.5,16.0,25.0,0.64,8.0,34.0,42.0,25.0,6.0,4.0,18.0,19.0,88.0,0.55,0.5217391304347826,0.2318840579710145,0.36200000000000004,22.2,75.6,51.9,78.1,6.8,7.4,18.4,100.0,99.5,90.4,80.0,0.3623188405797101,24.0,53.0,0.4528301886792453,0.7681159420289855,0.19047619047619047,0.8095238095238095,1.3888888888888888,0.3333333333333333,67.875,0.2318840579710145,1.78125,8.0,27.0,74.0,0.3648648648648649,8.0,20.0,0.4,18.0,25.0,0.72,11.0,28.0,39.0,15.0,10.0,6.0,17.0,21.0,80.0,0.4705882352941176,0.4189189189189189,0.2702702702702703,0.33799999999999997,24.4,77.8,48.1,55.6,11.3,11.3,16.7,100.0,90.4,99.5,85.0,0.33783783783783783,19.0,54.0,0.35185185185185186,0.7297297297297297,0.28205128205128205,0.7179487179487181,0.8823529411764706,0.5882352941176471,50.625,0.2432432432432433,1.5555555555555556,-8.0,1
1,Miami Heat,Boston Celtics,201010260,Boston Celtics1,27.0,74.0,0.3648648648648649,8.0,20.0,0.4,18.0,25.0,0.72,11.0,28.0,39.0,15.0,10.0,6.0,17.0,21.0,80.0,0.4705882352941176,0.4189189189189189,0.2702702702702703,0.33799999999999997,24.4,77.8,48.1,55.6,11.3,11.3,16.7,100.0,90.4,99.5,85.0,0.33783783783783783,19.0,54.0,0.35185185185185186,0.7297297297297297,0.28205128205128205,0.7179487179487181,0.8823529411764706,0.5882352941176471,50.625,0.2432432432432433,1.5555555555555556,-8.0,32.0,69.0,0.463768115942029,8.0,16.0,0.5,16.0,25.0,0.64,8.0,34.0,42.0,25.0,6.0,4.0,18.0,19.0,88.0,0.55,0.5217391304347826,0.2318840579710145,0.36200000000000004,22.2,75.6,51.9,78.1,6.8,7.4,18.4,100.0,99.5,90.4,80.0,0.3623188405797101,24.0,53.0,0.4528301886792453,0.7681159420289855,0.19047619047619047,0.8095238095238095,1.3888888888888888,0.3333333333333333,67.875,0.2318840579710145,1.78125,8.0,0
2,Los Angeles Lakers,Houston Rockets,201010260,Los Angeles Lakers1,40.0,96.0,0.4166666666666667,9.0,21.0,0.42857142857142855,23.0,28.0,0.8214285714285714,14.0,30.0,44.0,21.0,11.0,4.0,12.0,24.0,112.0,0.5169867060561301,0.4635416666666667,0.21875,0.292,27.5,65.2,45.4,52.5,10.7,5.6,10.0,100.0,109.1,107.2,108.32,0.2916666666666667,31.0,75.0,0.4133333333333333,0.78125,0.3181818181818182,0.6818181818181818,1.75,0.9166666666666666,78.0,0.2395833333333333,1.525,2.0,38.0,91.0,0.4175824175824176,8.0,20.0,0.4,26.0,28.0,0.9285714285714286,16.0,37.0,53.0,25.0,6.0,7.0,20.0,25.0,110.0,0.5323267518389471,0.4615384615384616,0.21978021978021975,0.308,34.8,72.5,54.6,65.8,5.8,9.3,16.2,100.0,107.2,109.1,103.32,0.3076923076923077,30.0,71.0,0.4225352112676056,0.7802197802197802,0.3018867924528302,0.6981132075471698,1.25,0.3,80.5,0.2857142857142857,1.6578947368421053,-2.0,1
3,Houston Rockets,Los Angeles Lakers,201010260,Los Angeles Lakers1,38.0,91.0,0.4175824175824176,8.0,20.0,0.4,26.0,28.0,0.9285714285714286,16.0,37.0,53.0,25.0,6.0,7.0,20.0,25.0,110.0,0.5323267518389471,0.4615384615384616,0.21978021978021975,0.308,34.8,72.5,54.6,65.8,5.8,9.3,16.2,100.0,107.2,109.1,103.32,0.3076923076923077,30.0,71.0,0.4225352112676056,0.7802197802197802,0.3018867924528302,0.6981132075471698,1.25,0.3,80.5,0.2857142857142857,1.6578947368421053,-2.0,40.0,96.0,0.4166666666666667,9.0,21.0,0.42857142857142855,23.0,28.0,0.8214285714285714,14.0,30.0,44.0,21.0,11.0,4.0,12.0,24.0,112.0,0.5169867060561301,0.4635416666666667,0.21875,0.292,27.5,65.2,45.4,52.5,10.7,5.6,10.0,100.0,109.1,107.2,108.32,0.2916666666666667,31.0,75.0,0.4133333333333333,0.78125,0.3181818181818182,0.6818181818181818,1.75,0.9166666666666666,78.0,0.2395833333333333,1.525,2.0,0
4,Portland Trail Blazers,Phoenix Suns,201010260,Portland Trail Blazers1,43.0,93.0,0.4623655913978494,10.0,20.0,0.5,10.0,15.0,0.6666666666666666,18.0,30.0,48.0,31.0,11.0,2.0,12.0,22.0,106.0,0.532128514056225,0.5161290322580645,0.21505376344086025,0.161,43.9,81.1,61.5,72.1,12.3,3.6,10.8,100.0,118.3,102.7,99.6,0.16129032258064516,33.0,73.0,0.4520547945205479,0.7849462365591398,0.375,0.625,2.583333333333333,0.9166666666666666,92.125,0.10752688172043012,1.7209302325581397,14.0,36.0,74.0,0.4864864864864865,9.0,19.0,0.4736842105263158,11.0,16.0,0.6875,7.0,23.0,30.0,15.0,3.0,4.0,19.0,19.0,92.0,0.5676209279368213,0.5472972972972973,0.25675675675675674,0.21600000000000003,18.9,56.1,38.5,41.7,3.3,5.5,19.0,100.0,102.7,118.3,81.04,0.21621621621621626,27.0,55.0,0.4909090909090909,0.7432432432432432,0.2333333333333333,0.7666666666666667,0.7894736842105263,0.15789473684210525,48.25,0.14864864864864866,1.4166666666666667,-14.0,1
5,Phoenix Suns,Portland Trail Blazers,201010260,Portland Trail Blazers1,36.0,74.0,0.4864864864864865,9.0,19.0,0.4736842105263158,11.0,16.0,0.6875,7.0,23.0,30.0,15.0,3.0,4.0,19.0,19.0,92.0,0.5676209279368213,0.5472972972972973,0.25675675675675674,0.21600000000000003,18.9,56.1,38.5,41.7,3.3,5.5,19.0,100.0,102.7,118.3,81.04,0.21621621621621626,27.0,55.0,0.4909090909090909,0.7432432432432432,0.2333333333333333,0.7666666666666667,0.7894736842105263,0.15789473684210525,48.25,0.14864864864864866,1.4166666666666667,-14.0,43.0,93.0,0.4623655913978494,10.0,20.0,0.5,10.0,15.0,0.6666666666666666,18.0,30.0,48.0,31.0,11.0,2.0,12.0,22.0,106.0,0.532128514056225,0.5161290322580645,0.21505376344086025,0.161,43.9,81.1,61.5,72.1,12.3,3.6,10.8,100.0,118.3,102.7,99.6,0.16129032258064516,33.0,73.0,0.4520547945205479,0.7849462365591398,0.375,0.625,2.583333333333333,0.9166666666666666,92.125,0.10752688172043012,1.7209302325581397,14.0,0
6,Cleveland Cavaliers,Boston Celtics,201010270,Cleveland Cavaliers1,36.0,81.0,0.4444444444444444,6.0,20.0,0.3,17.0,21.0,0.8095238095238095,8.0,29.0,37.0,24.0,5.0,4.0,14.0,20.0,95.0,0.5263741134751774,0.4814814814814815,0.2469135802469136,0.259,20.0,82.9,49.3,66.7,5.4,6.7,13.4,100.0,102.0,93.4,90.24,0.25925925925925924,30.0,61.0,0.4918032786885246,0.7530864197530864,0.21621621621621626,0.7837837837837838,1.7142857142857142,0.35714285714285715,65.125,0.20987654320987653,1.6666666666666667,8.0,34.0,72.0,0.4722222222222222,3.0,12.0,0.25,16.0,21.0,0.7619047619047619,6.0,32.0,38.0,24.0,8.0,1.0,19.0,24.0,87.0,0.5354505169867061,0.4930555555555556,0.16666666666666666,0.292,17.1,80.0,50.7,70.6,8.6,1.6,19.0,100.0,93.4,102.0,81.24,0.2916666666666667,31.0,60.0,0.5166666666666667,0.8333333333333334,0.15789473684210525,0.8421052631578947,1.263157894736842,0.42105263157894735,57.125,0.2222222222222222,1.7058823529411764,-8.0,1
7,Boston Celtics,Cleveland Cavaliers,201010270,Cleveland Cavaliers1,34.0,72.0,0.4722222222222222,3.0,12.0,0.25,16.0,21.0,0.7619047619047619,6.0,32.0,38.0,24.0,8.0,1.0,19.0,24.0,87.0,0.5354505169867061,0.4930555555555556,0.16666666666666666,0.292,17.1,80.0,50.7,70.6,8.6,1.6,19.0,100.0,93.4,102.0,81.24,0.2916666666666667,31.0,60.0,0.5166666666666667,0.8333333333333334,0.15789473684210525,0.8421052631578947,1.263157894736842,0.42105263157894735,57.125,0.2222222222222222,1.7058823529411764,-8.0,36.0,81.0,0.4444444444444444,6.0,20.0,0.3,17.0,21.0,0.8095238095238095,8.0,29.0,37.0,24.0,5.0,4.0,14.0,20.0,95.0,0.5263741134751774,0.4814814814814815,0.2469135802469136,0.259,20.0,82.9,49.3,66.7,5.4,6.7,13.4,100.0,102.0,93.4,90.24,0.25925925925925924,30.0,61.0,0.4918032786885246,0.7530864197530864,0.21621621621621626,0.7837837837837838,1.7142857142857142,0.35714285714285715,65.125,0.20987654320987653,1.6666666666666667,8.0,0
8,Dallas Mavericks,Charlotte Bobcats,201010270,Dallas Mavericks1,41.0,75.0,0.5466666666666666,4.0,15.0,0.26666666666666666,15.0,18.0,0.8333333333333334,7.0,34.0,41.0,29.0,12.0,5.0,16.0,18.0,101.0,0.6090207428847081,0.5733333333333334,0.2,0.24,20.0,81.0,53.2,70.7,13.0,8.3,16.2,100.0,109.5,93.2,82.92,0.24,37.0,60.0,0.6166666666666667,0.8,0.17073170731707318,0.8292682926829268,1.8125,0.75,91.5,0.2,1.7073170731707317,15.0,29.0,73.0,0.3972602739726027,5.0,13.0,0.38461538461538464,23.0,24.0,0.9583333333333334,8.0,28.0,36.0,22.0,8.0,3.0,20.0,15.0,86.0,0.5146002872187649,0.4315068493150685,0.1780821917808219,0.32899999999999996,19.0,80.0,46.8,75.9,8.7,5.0,19.3,100.0,93.2,109.5,83.56,0.3287671232876712,24.0,60.0,0.4,0.821917808219178,0.2222222222222222,0.7777777777777778,1.1,0.4,56.75,0.3150684931506849,1.7586206896551724,-15.0,1
9,Charlotte Bobcats,Dallas Mavericks,201010270,Dallas Mavericks1,29.0,73.0,0.3972602739726027,5.0,13.0,0.38461538461538464,23.0,24.0,0.9583333333333334,8.0,28.0,36.0,22.0,8.0,3.0,20.0,15.0,86.0,0.5146002872187649,0.4315068493150685,0.1780821917808219,0.32899999999999996,19.0,80.0,46.8,75.9,8.7,5.0,19.3,100.0,93.2,109.5,83.56,0.3287671232876712,24.0,60.0,0.4,0.821917808219178,0.2222222222222222,0.7777777777777778,1.1,0.4,56.75,0.3150684931506849,1.7586206896551724,-15.0,41.0,75.0,0.5466666666666666,4.0,15.0,0.26666666666666666,15.0,18.0,0.8333333333333334,7.0,34.0,41.0,29.0,12.0,5.0,16.0,18.0,101.0,0.6090207428847081,0.5733333333333334,0.2,0.24,20.0,81.0,53.2,70.7,13.0,8.3,16.2,100.0,109.5,93.2,82.92,0.24,37.0,60.0,0.6166666666666667,0.8,0.17073170731707318,0.8292682926829268,1.8125,0.75,91.5,0.2,1.7073170731707317,15.0,0
