City1,City2,Distance
Seattle,Philadelphia,2380
Seattle,Toronto,2073
Seattle,Chicago,1737
Seattle,Cleveland,2028
Seattle,Auburn+Hills,1920
Seattle,Indianapolis,1873
Seattle,Milwaukee,1689
Seattle,Atlanta,2181
Seattle,Charlotte,2288
Seattle,Miami,2734
Seattle,Orlando,2551
Seattle,Washington+DC,2329
Seattle,Denver,1026
Seattle,Minneapolis,1396
Seattle,Oklahoma+City,1526
Seattle,Portland,144.6
Seattle,Salt+Lake+City,699.6
Salt+Lake+City,Boston,2103
Salt+Lake+City,New+York+City,1979
Salt+Lake+City,Philadelphia,1928
Salt+Lake+City,Toronto,1671
Salt+Lake+City,Chicago,1260
Salt+Lake+City,Cleveland,1571
Salt+Lake+City,Auburn+Hills,1482
Salt+Lake+City,Indianapolis,1359
Salt+Lake+City,Milwaukee,1241
Salt+Lake+City,Atlanta,1584
Salt+Lake+City,Charlotte,1731
Salt+Lake+City,Miami,2091
Salt+Lake+City,Orlando,1921
Salt+Lake+City,Washington+DC,1849
Salt+Lake+City,Denver,379.1
Salt+Lake+City,Minneapolis,988
Salt+Lake+City,Oklahoma+City,865.3
Salt+Lake+City,Portland,632.7
Portland,Boston,2541
Portland,New+York+City,2449
Portland,Philadelphia,2410
Portland,Toronto,2113
Portland,Chicago,1756
Portland,Cleveland,2055
Portland,Auburn+Hills,1951
Portland,Indianapolis,1885
Portland,Milwaukee,1715
Portland,Atlanta,2170
Portland,Charlotte,2290
Portland,Miami,2706
Portland,Orlando,2528
Portland,Washington+DC,2353
Portland,Denver,986.5
Portland,Minneapolis,1426
Portland,Oklahoma+City,1486
Oklahoma+City,Boston,1497
Oklahoma+City,New+York+City,1330
Oklahoma+City,Philadelphia,1261
Oklahoma+City,Toronto,1117
Oklahoma+City,Chicago,689
Oklahoma+City,Cleveland,951.5
Oklahoma+City,Auburn+Hills,912.4
Oklahoma+City,Indianapolis,690.1
Oklahoma+City,Milwaukee,731.7
Oklahoma+City,Atlanta,754.6
Oklahoma+City,Charlotte,941.5
Oklahoma+City,Miami,1225
Oklahoma+City,Orlando,1059
Oklahoma+City,Washington+DC,1153
Oklahoma+City,Denver,500.8
Oklahoma+City,Minneapolis,692.4
Minneapolis,Boston,1126
Minneapolis,New+York+City,1023
Minneapolis,Philadelphia,984.9
Minneapolis,Toronto,693.7
Minneapolis,Chicago,354.3
Minneapolis,Cleveland,631.9
Minneapolis,Auburn+Hills,525
Minneapolis,Indianapolis,510.5
Minneapolis,Milwaukee,294.9
Minneapolis,Atlanta,905
Minneapolis,Charlotte,939.9
Minneapolis,Miami,1510
Minneapolis,Orlando,1308
Minneapolis,Washington+DC,933.8
Minneapolis,Denver,693.4
Denver,Boston,1766
Denver,New+York+City,1629
Denver,Philadelphia,1574
Denver,Toronto,1340
Denver,Chicago,911.6
Denver,Cleveland,1222
Denver,Auburn+Hills,1142
Denver,Indianapolis,995.6
Denver,Milwaukee,906
Denver,Atlanta,1205
Denver,Charlotte,1354
Denver,Miami,1720
Denver,Orlando,1546
Denver,Washington+DC,1488
Washington+DC,Boston,394
Washington+DC,New+York+City,203.9
Washington+DC,Philadelphia,126.3
Washington+DC,Toronto,349.8
Washington+DC,Chicago,597.6
Washington+DC,Cleveland,303.9
Washington+DC,Auburn+Hills,417.3
Washington+DC,Indianapolis,492.5
Washington+DC,Milwaukee,639.8
Washington+DC,Atlanta,544
Washington+DC,Charlotte,330.6
Washington+DC,Miami,923.6
Washington+DC,Orlando,757.3
Orlando,Boston,1114
Orlando,New+York+City,936.6
Orlando,Philadelphia,867.3
Orlando,Toronto,1048
Orlando,Chicago,983.4
Orlando,Cleveland,892.5
Orlando,Auburn+Hills,980.5
Orlando,Indianapolis,821.5
Orlando,Milwaukee,1067
Orlando,Atlanta,402.9
Orlando,Charlotte,461
Orlando,Miami,203.1
Miami,Boston,1255
Miami,New+York+City,1088
Miami,Philadelphia,1024
Miami,Toronto,1233
Miami,Chicago,1186
Miami,Cleveland,1086
Miami,Auburn+Hills,1178
Miami,Indianapolis,1024
Miami,Milwaukee,1270
Miami,Atlanta,605.5
